ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Barisal,Barguna,Amtali,BD100409,2140,2270,0.3874,0.0097,0.3777,97.5,Loss,OK
Barisal,Barguna,Patharghata,BD100485,888,1055,0.3859,0.0092,0.3767,97.62,Loss,OK
Chittagong,Cox's Bazar,Ukhia,BD202294,1042,1133,0.3862,0.0096,0.3766,97.51,Loss,OK
Barisal,Pirojpur,Pirojpur Sadar,BD107980,647,722,0.385,0.0095,0.3755,97.53,Loss,OK
Barisal,Bhola,Bhola Sadar,BD100918,1086,1423,0.3843,0.0088,0.3755,97.71,Loss,OK
Barisal,Patuakhali,Mirzaganj,BD107876,665,773,0.3846,0.0093,0.3753,97.58,Loss,OK
Chittagong,Chittagong,Hathazari,BD201537,991,1002,0.3847,0.0099,0.3748,97.43,Loss,OK
Barisal,Patuakhali,Patuakhali Sadar,BD107895,1427,1609,0.3833,0.0094,0.3739,97.55,Loss,OK
Chittagong,Chittagong,Patiya,BD201561,1268,1314,0.3828,0.0098,0.373,97.44,Loss,OK
Barisal,Pirojpur,Kawkhali,BD107947,298,354,0.3816,0.0092,0.3724,97.59,Loss,OK
Chittagong,Chittagong,Lohagara,BD201547,1130,1131,0.381,0.01,0.371,97.38,Loss,OK
Chittagong,Chittagong,Satkania,BD201582,1192,1202,0.381,0.01,0.371,97.38,Loss,OK
Chittagong,Lakshmipur,Lakshmipur Sadar,BD205143,1943,2070,0.3779,0.0097,0.3682,97.43,Loss,OK
Barisal,Patuakhali,Bauphal,BD107838,1707,1949,0.3772,0.0094,0.3678,97.51,Loss,OK
Sylhet,Maulvibazar,Kulaura,BD605865,2189,2302,0.3762,0.0098,0.3664,97.4,Loss,OK
Sylhet,Maulvibazar,Juri,BD605835,925,1091,0.3753,0.0092,0.3661,97.55,Loss,OK
Sylhet,Maulvibazar,Sreemangal,BD605883,1785,1927,0.3756,0.0096,0.366,97.44,Loss,OK
Sylhet,Maulvibazar,Barlekha,BD605814,1460,1722,0.3745,0.0092,0.3653,97.54,Loss,OK
Chittagong,Chittagong,Raozan,BD201574,1053,1054,0.3752,0.01,0.3652,97.33,Loss,OK
Barisal,Patuakhali,Dumki,BD107855,328,414,0.3741,0.009,0.3651,97.59,Loss,OK
Barisal,Pirojpur,Nesarabad (Swarupkati),BD107987,745,819,0.3739,0.0095,0.3644,97.46,Loss,OK
Barisal,Bhola,Char Fasson,BD100925,2250,2985,0.3722,0.0088,0.3634,97.64,Loss,OK
Barisal,Jhalokati,Jhalokati Sadar,BD104240,844,882,0.3722,0.0098,0.3624,97.37,Loss,OK
Chittagong,Chittagong,Rangunia,BD201570,1448,1493,0.3722,0.0098,0.3624,97.37,Loss,OK
Barisal,Patuakhali,Dashmina,BD107852,822,982,0.3711,0.0092,0.3619,97.52,Loss,OK
Barisal,Barisal,Bakerganj,BD100607,1468,1649,0.3705,0.0095,0.361,97.44,Loss,OK
Chittagong,Chittagong,Mirsharai,BD201553,1931,2023,0.3708,0.0099,0.3609,97.33,Loss,OK
Chittagong,Chittagong,Banshkhali,BD201508,1399,1539,0.3694,0.0096,0.3598,97.4,Loss,OK
Chittagong,Chandpur,Faridganj,BD201345,1027,1065,0.3659,0.0098,0.3561,97.32,Loss,OK
Chittagong,Noakhali,Noakhali Sadar (Sudharam),BD207587,1596,1639,0.3644,0.0099,0.3545,97.28,Loss,OK
Barisal,Jhalokati,Nalchity,BD104273,889,972,0.3638,0.0096,0.3542,97.36,Loss,OK
Chittagong,Chittagong,Bayejid Bostami,BD201506,136,188,0.3627,0.0086,0.3541,97.63,Loss,OK
Chittagong,Lakshmipur,Kamalnagar,BD205133,792,980,0.3616,0.0102,0.3514,97.18,Loss,OK
Chittagong,Chittagong,Anowara,BD201504,570,649,0.3594,0.0094,0.35,97.38,Loss,OK
Chittagong,Noakhali,Chatkhil,BD207510,560,606,0.3568,0.0096,0.3472,97.31,Loss,OK
Chittagong,Feni,Daganbhuiyan,BD203025,628,630,0.3571,0.01,0.3471,97.2,Loss,OK
Barisal,Barisal,Babuganj,BD100603,614,702,0.3547,0.0094,0.3453,97.35,Loss,OK
Chittagong,Comilla,Comilla Sadar Dakshin,BD201933,1167,1168,0.3545,0.01,0.3445,97.18,Loss,OK
Barisal,Bhola,Manpura,BD100965,379,778,0.3517,0.0076,0.3441,97.84,Loss,OK
Barisal,Patuakhali,Galachipa,BD107857,2988,3823,0.3518,0.0089,0.3429,97.47,Loss,OK
Khulna,Satkhira,Shyamnagar,BD408786,1838,6775,0.3488,0.0064,0.3424,98.17,Loss,OK
Chittagong,Feni,Feni Sadar,BD203029,921,951,0.3508,0.0098,0.341,97.21,Loss,OK
Chittagong,Comilla,Barura,BD201909,1076,1076,0.3506,0.01,0.3406,97.15,Loss,OK
Chittagong,Cox's Bazar,Chakaria,BD202216,1550,2095,0.3479,0.0087,0.3392,97.5,Loss,OK
Dhaka,Tangail,Madhupur,BD309357,1631,1636,0.3472,0.01,0.3372,97.12,Loss,OK
Chittagong,Lakshmipur,Ramganj,BD205165,751,784,0.347,0.0098,0.3372,97.18,Loss,OK
Chittagong,Feni,Chhagalnaiya,BD203014,610,612,0.3458,0.01,0.3358,97.11,Loss,OK
Chittagong,Feni,Parshuram,BD203051,447,447,0.3455,0.01,0.3355,97.11,Loss,OK
Chittagong,Lakshmipur,Ramgati,BD205173,602,794,0.3455,0.01,0.3355,97.11,Loss,OK
Chittagong,Noakhali,Hatiya,BD207536,1963,2917,0.3439,0.009,0.3349,97.38,Loss,OK
Barisal,Barisal,Mehendiganj,BD100662,961,1279,0.3432,0.0088,0.3344,97.44,Loss,OK
Dhaka,Narsingdi,Belabo,BD306807,544,546,0.344,0.01,0.334,97.09,Loss,OK
Chittagong,Noakhali,Kabirhat,BD207547,579,604,0.343,0.0098,0.3332,97.14,Loss,OK
Sylhet,Habiganj,Madhabpur,BD603671,1317,1317,0.3417,0.01,0.3317,97.07,Loss,OK
Barisal,Patuakhali,Kala Para,BD107866,1784,1950,0.3406,0.0096,0.331,97.18,Loss,OK
Chittagong,Feni,Fulgazi,BD203041,441,441,0.3406,0.01,0.3306,97.06,Loss,OK
Chittagong,Noakhali,Subarnachar,BD207585,1844,2245,0.3397,0.0096,0.3301,97.17,Loss,OK
Chittagong,Cox's Bazar,Maheshkhali,BD202249,610,1360,0.3373,0.0073,0.33,97.84,Loss,OK
Chittagong,Chittagong,Khulshi,BD201543,8,57,0.335,0.0057,0.3293,98.3,Loss,OK
Dhaka,Kishoreganj,Kuliar Char,BD304854,446,454,0.3392,0.0099,0.3293,97.08,Loss,OK
Barisal,Barisal,Barisal Sadar (Kotwali),BD100651,1101,1285,0.3386,0.0093,0.3293,97.25,Loss,OK
Barisal,Bhola,Tazumuddin,BD100991,464,711,0.337,0.0089,0.3281,97.36,Loss,OK
Chittagong,Comilla,Chauddagram,BD201931,1228,1228,0.3363,0.01,0.3263,97.03,Loss,OK
Sylhet,Maulvibazar,Rajnagar,BD605880,1276,1495,0.3325,0.0093,0.3232,97.2,Loss,OK
Dhaka,Narsingdi,Shibpur,BD306876,933,951,0.3322,0.0099,0.3223,97.02,Loss,OK
Chittagong,Cox's Bazar,Cox's Bazar Sadar,BD202224,704,914,0.3307,0.0089,0.3218,97.31,Loss,OK
Chittagong,Feni,Sonagazi,BD203094,867,915,0.3317,0.0099,0.3218,97.02,Loss,OK
Sylhet,Habiganj,Bahubal,BD603605,1167,1177,0.3318,0.01,0.3218,96.99,Loss,OK
Chittagong,Noakhali,Senbagh,BD207580,712,713,0.3305,0.01,0.3205,96.97,Loss,OK
Barisal,Barisal,Banari Para,BD100610,522,581,0.3295,0.0095,0.32,97.12,Loss,OK
Barisal,Barisal,Muladi,BD100669,808,978,0.329,0.0091,0.3199,97.23,Loss,OK
Chittagong,Comilla,Nangalkot,BD201987,1026,1033,0.3294,0.01,0.3194,96.96,Loss,OK
Chittagong,Comilla,Brahman Para,BD201915,581,581,0.3294,0.01,0.3194,96.96,Loss,OK
Chittagong,Chandpur,Chandpur Sadar,BD201322,633,759,0.3275,0.0092,0.3183,97.19,Loss,OK
